iter	Logloss
0	0.667571532
1	0.6401185366
2	0.6185032889
3	0.6008588609
4	0.5837663835
5	0.572457174
6	0.5633035337
7	0.5465623128
8	0.5391820718
9	0.5253879199
10	0.5195184775
11	0.511031045
12	0.5002128918
13	0.4936684977
14	0.4904054483
15	0.4832411429
16	0.4765313914
17	0.4683394237
18	0.4599118262
19	0.4566641641
20	0.4548939039
21	0.4478636936
22	0.4444506378
23	0.4431200799
24	0.4373800283
25	0.4330633285
26	0.4286855067
27	0.4252334042
28	0.4210787243
29	0.417717833
30	0.4143728168
31	0.4114712027
32	0.4100508076
33	0.4073278045
34	0.4048216562
35	0.4026021357
36	0.3996668759
37	0.3975096824
38	0.3963318974
39	0.3950500384
40	0.3942049767
41	0.393757737
42	0.3927173523
43	0.3916927014
44	0.3908374181
45	0.3893638541
46	0.3890639494
47	0.3870545029
48	0.3861995421
49	0.3847613076
50	0.3845458852
51	0.3836954894
52	0.3835020803
53	0.3819010912
54	0.3813093907
55	0.3806227066
56	0.3796022181
57	0.3793834383
58	0.3790650704
59	0.3784558661
60	0.3783036123
61	0.3781035963
62	0.3776728527
63	0.3773073529
64	0.377304952
65	0.3763169946
66	0.3762762214
67	0.3762526743
68	0.3755445671
69	0.3748066141
70	0.3739950198
71	0.3737904139
72	0.3737889224
73	0.3734692694
74	0.3734684391
75	0.3722775319
76	0.3722699992
77	0.3722325007
78	0.3722320273
79	0.371551411
80	0.3714433933
81	0.3713022701
82	0.3702808011
83	0.3702518186
84	0.3700299531
85	0.3699906477
86	0.3699463459
87	0.3698997517
88	0.3697872999
89	0.3697835255
90	0.3689697342
91	0.3685751412
92	0.3683371548
93	0.3683358926
94	0.3682068267
95	0.3682066985
96	0.3682066949
97	0.3668229634
98	0.3668229527
99	0.3664526898
100	0.3664040171
101	0.3658144895
102	0.3651871839
103	0.3651871831
104	0.3651831471
105	0.3646837317
106	0.3646837316
107	0.3645385557
108	0.3640383699
109	0.3640353052
110	0.3640323391
111	0.364032337
112	0.3634596877
113	0.3634596861
114	0.3633892775
115	0.3629733572
116	0.3628461848
117	0.3625720193
118	0.3625720191
119	0.3624629531
120	0.3622835576
121	0.3621208192
122	0.3621181251
123	0.362007928
124	0.3619531115
125	0.3619504926
126	0.3613624165
127	0.3610570571
128	0.3601642375
129	0.3598339369
130	0.3597713733
131	0.3595921104
132	0.3587222137
133	0.3575813112
134	0.3574791834
135	0.3573918222
136	0.3573918222
137	0.3573382705
138	0.356916855
139	0.3565760767
140	0.3560819722
141	0.3555174519
142	0.3554526624
143	0.3554526624
144	0.3549383688
145	0.3547770116
146	0.3547223397
147	0.3535489699
148	0.3535454343
149	0.3525735776
150	0.352520843
151	0.3520786254
152	0.3515566446
153	0.351038676
154	0.3504939453
155	0.3502466833
156	0.3502051414
157	0.3495629956
158	0.3492163346
159	0.3492147564
160	0.3492132173
161	0.3491743939
162	0.3485904288
163	0.3478850133
164	0.347547222
165	0.346987498
166	0.3467714277
167	0.3459117592
168	0.3454864623
169	0.3454509708
170	0.3447980359
171	0.3445021657
172	0.3441643214
173	0.3438657319
174	0.343460367
175	0.3431212912
