iter	Passed	Remaining
0	170	170331
1	196	97940
2	206	68703
3	219	54761
4	230	45894
5	244	40477
6	258	36631
7	283	35176
8	296	32698
9	321	31873
10	335	30160
11	349	28759
12	375	28518
13	390	27504
14	400	26297
15	429	26413
16	456	26369
17	482	26324
18	507	26210
19	520	25515
20	542	25277
21	567	25244
22	591	25144
23	617	25107
24	642	25042
25	668	25054
26	694	25012
27	722	25081
28	748	25056
29	775	25069
30	800	25034
31	830	25107
32	858	25167
33	884	25141
34	912	25146
35	937	25113
36	963	25073
37	989	25042
38	1014	25008
39	1041	24993
40	1060	24813
41	1088	24828
42	1124	25027
43	1154	25074
44	1181	25074
45	1215	25209
46	1243	25214
47	1269	25188
48	1298	25209
49	1323	25153
50	1348	25095
51	1374	25062
52	1388	24809
53	1414	24772
54	1440	24753
55	1467	24744
56	1494	24727
57	1515	24617
58	1541	24593
59	1569	24586
60	1596	24571
61	1614	24429
62	1642	24423
63	1664	24344
64	1670	24024
65	1698	24030
66	1707	23778
67	1726	23661
68	1752	23648
69	1780	23655
70	1809	23681
71	1832	23614
72	1841	23389
73	1868	23377
74	1873	23111
75	1901	23123
76	1911	22916
77	1925	22765
78	1931	22516
79	1957	22506
80	1970	22354
81	1979	22165
82	2005	22152
83	2018	22009
84	2032	21878
85	2045	21737
86	2058	21604
87	2073	21485
88	2086	21358
89	2096	21195
90	2121	21192
91	2142	21148
92	2168	21144
93	2177	20986
94	2186	20826
95	2195	20672
96	2200	20484
97	2225	20488
98	2231	20306
99	2252	20274
100	2266	20170
101	2291	20177
102	2317	20186
103	2323	20018
104	2332	19881
105	2353	19849
106	2359	19688
107	2376	19632
108	2402	19638
109	2412	19516
110	2421	19396
111	2427	19245
112	2453	19257
113	2458	19110
114	2490	19167
115	2541	19369
116	2559	19315
117	2583	19310
118	2588	19165
119	2601	19077
120	2623	19061
121	2637	18982
122	2647	18874
123	2660	18798
124	2673	18716
125	2683	18614
126	2709	18625
127	2735	18636
128	2761	18647
129	2784	18633
130	2815	18674
131	2841	18684
132	2869	18707
133	2898	18732
134	2917	18691
135	2926	18593
136	2932	18471
137	2945	18399
138	2988	18509
139	3019	18547
140	3045	18554
141	3073	18571
142	3083	18477
143	3089	18362
144	3114	18363
145	3131	18316
146	3141	18228
147	3167	18232
148	3176	18142
149	3203	18150
150	3216	18083
151	3241	18081
152	3266	18081
153	3291	18079
154	3317	18084
155	3342	18083
156	3370	18095
157	3397	18105
158	3420	18092
159	3430	18007
160	3439	17924
161	3449	17845
162	3477	17855
163	3509	17887
164	3558	18009
165	3584	18008
166	3609	18002
167	3634	18000
168	3659	17994
169	3668	17912
170	3695	17915
171	3721	17914
172	3738	17872
173	3765	17874
174	3792	17880
175	3822	17895
176	3849	17897
177	3877	17907
178	3902	17901
179	3928	17898
180	3954	17893
181	3982	17900
182	4008	17896
183	4030	17873
184	4058	17877
185	4097	17932
186	4120	17916
187	4173	18024
188	4187	17967
189	4214	17966
190	4228	17909
191	4255	17908
192	4282	17905
193	4309	17902
194	4336	17900
195	4362	17893
196	4388	17888
197	4414	17882
198	4443	17886
199	4473	17893
200	4509	17924
201	4552	17986
202	4579	17980
203	4611	17993
204	4637	17984
205	4664	17976
206	4689	17963
207	4714	17949
208	4745	17959
209	4775	17966
210	4806	17971
211	4833	17964
212	4863	17971
213	4892	17970
214	4918	17959
215	4945	17949
216	4972	17940
217	5005	17955
218	5033	17949
219	5060	17941
220	5087	17932
221	5113	17920
222	5139	17908
223	5166	17897
224	5192	17883
225	5219	17874
226	5244	17860
227	5271	17847
228	5298	17838
229	5324	17825
230	5350	17811
231	5377	17800
232	5404	17789
233	5429	17774
234	5457	17764
235	5483	17750
236	5512	17746
237	5537	17730
238	5563	17714
239	5589	17701
240	5616	17686
241	5641	17671
242	5667	17655
243	5694	17642
244	5720	17629
245	5747	17616
246	5774	17605
247	5804	17602
248	5831	17588
249	5858	17574
250	5889	17574
251	5914	17556
252	5941	17541
253	5967	17525
254	5994	17513
255	6020	17498
256	6048	17485
257	6074	17470
258	6101	17457
259	6128	17441
260	6154	17424
261	6181	17410
262	6207	17395
263	6233	17378
264	6259	17362
265	6286	17346
266	6312	17330
267	6337	17309
268	6363	17292
269	6389	17274
270	6415	17256
271	6441	17239
272	6476	17245
273	6502	17227
274	6527	17209
275	6552	17188
276	6578	17171
277	6605	17154
278	6631	17136
279	6656	17116
280	6682	17098
281	6708	17080
282	6735	17063
283	6762	17048
284	6791	17038
285	6817	17020
286	6843	17002
287	6873	16993
288	6900	16977
289	6924	16954
290	6949	16932
291	6974	16911
292	7000	16892
293	7025	16871
294	7051	16851
295	7076	16830
296	7101	16809
297	7127	16791
298	7153	16770
299	7180	16753
300	7206	16736
301	7232	16716
302	7258	16696
303	7283	16676
304	7311	16660
305	7341	16651
306	7371	16639
307	7413	16657
308	7491	16752
309	7519	16738
310	7548	16722
311	7575	16704
312	7603	16688
313	7641	16694
314	7669	16678
315	7697	16660
316	7724	16642
317	7756	16634
318	7788	16627
319	7826	16632
320	7900	16712
321	7952	16743
322	7989	16746
323	8023	16740
324	8057	16735
325	8093	16733
326	8127	16727
327	8162	16723
328	8197	16719
329	8233	16716
330	8268	16712
331	8296	16693
332	8321	16668
333	8346	16643
334	8372	16620
335	8400	16601
336	8437	16598
337	8478	16605
338	8514	16601
339	8549	16596
340	8584	16590
341	8620	16584
342	8656	16580
